service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
104497,1,1,1,0,0,0,0,20211013,20220318
104039,0,1,1,0,1,0,0,20211013,20220318
103711,1,1,1,1,1,0,0,20211018,20220318
100942,1,1,1,0,0,0,0,20211018,20220318
100484,0,1,1,0,1,0,0,20211018,20220318
98891,0,1,1,0,0,0,0,20211018,20220318
94367,0,0,0,0,0,0,0,20211013,20220318
92821,0,0,0,0,0,0,0,20211013,20220318
90812,0,0,0,0,0,0,0,20211018,20220318
89954,0,0,0,0,0,0,0,20211013,20220318
89266,0,0,0,0,0,0,0,20211018,20220318
86399,0,0,0,0,0,0,0,20211018,20220318
74875,0,0,0,0,0,0,0,20211013,20220318
71320,0,0,0,0,0,0,0,20211018,20220318
29622,0,0,1,0,0,0,0,20211020,20220316
27116,0,0,0,0,0,0,1,20211017,20220313
26203,0,0,0,0,0,0,1,20211017,20220313
25309,0,0,0,0,0,0,1,20211017,20220313
23434,0,0,0,0,0,0,1,20211017,20220313
21405,0,0,0,0,0,1,0,20211016,20220312
20676,0,0,0,0,0,1,0,20211016,20220312
20221,0,0,0,0,0,0,0,20211016,20220312
19354,0,0,0,0,0,1,0,20211016,20220312
18899,0,0,0,0,0,0,0,20211016,20220312
17333,0,0,0,0,0,0,0,20211020,20220316
14543,0,0,0,0,0,0,0,20211101,20220225
11676,0,0,0,0,0,0,0,20211111,20220311
10130,0,0,0,0,0,0,0,20211126,20220225
3555,0,0,1,1,1,0,0,20211013,20211015
2752,0,0,1,1,0,0,0,20211013,20211014
1322,0,0,0,0,0,1,0,20211016,20211016
803,0,0,0,0,1,0,0,20211015,20211015
