service_id,date,exception_type
104497,20211125,2
104497,20211021,1
104497,20211202,1
104497,20211223,1
104497,20220120,1
104497,20211118,1
104497,20220317,1
104497,20220113,1
104497,20211216,1
104497,20220310,1
104497,20220210,1
104497,20211111,1
104497,20220106,1
104497,20211209,1
104497,20220303,1
104497,20220203,1
104497,20211230,1
104497,20220224,1
104497,20220127,1
104497,20211014,1
104497,20220217,1
104497,20211104,1
104497,20211028,1
104497,20211224,2
104497,20211231,2
104497,20211029,1
104497,20211022,1
104497,20211015,1
104497,20211203,1
104497,20211126,1
104497,20220121,1
104497,20211119,1
104497,20220318,1
104497,20220114,1
104497,20211217,1
104497,20220311,1
104497,20220211,1
104497,20211112,1
104497,20211210,1
104497,20220107,1
104497,20220304,1
104497,20220204,1
104497,20220225,1
104497,20220128,1
104497,20220218,1
104497,20211105,1
104039,20220221,2
104039,20220117,2
104039,20211115,1
104039,20220314,1
104039,20220110,1
104039,20211213,1
104039,20220307,1
104039,20220207,1
104039,20220103,1
104039,20211206,1
104039,20220228,1
104039,20220131,1
104039,20220124,1
104039,20211101,1
104039,20211025,1
104039,20211018,1
104039,20211108,1
104039,20211129,1
104039,20211227,1
104039,20211122,1
104039,20211220,1
104039,20220214,1
104039,20211125,2
104039,20211021,1
104039,20211202,1
104039,20211223,1
104039,20220120,1
104039,20211118,1
104039,20220317,1
104039,20220113,1
104039,20211216,1
104039,20220310,1
104039,20220210,1
104039,20211111,1
104039,20220106,1
104039,20211209,1
104039,20220303,1
104039,20220203,1
104039,20211230,1
104039,20220224,1
104039,20220127,1
104039,20211014,1
104039,20220217,1
104039,20211104,1
104039,20211028,1
100942,20211125,2
100942,20211021,1
100942,20211202,1
100942,20211223,1
100942,20220120,1
100942,20211118,1
100942,20220317,1
100942,20220113,1
100942,20211216,1
100942,20220310,1
100942,20220210,1
100942,20211111,1
100942,20220106,1
100942,20211209,1
100942,20220303,1
100942,20220203,1
100942,20211230,1
100942,20220224,1
100942,20220127,1
100942,20220217,1
100942,20211104,1
100942,20211028,1
100942,20211224,2
100942,20211231,2
100942,20211029,1
100942,20211022,1
100942,20211203,1
100942,20211126,1
100942,20220121,1
100942,20211119,1
100942,20220318,1
100942,20220114,1
100942,20211217,1
100942,20220311,1
100942,20220211,1
100942,20211112,1
100942,20211210,1
100942,20220107,1
100942,20220304,1
100942,20220204,1
100942,20220128,1
100942,20220225,1
100942,20220218,1
100942,20211105,1
100484,20220221,2
100484,20220117,2
100484,20211115,1
100484,20220314,1
100484,20220110,1
100484,20211213,1
100484,20220307,1
100484,20220207,1
100484,20220103,1
100484,20211206,1
100484,20220228,1
100484,20220131,1
100484,20220124,1
100484,20211101,1
100484,20211025,1
100484,20211018,1
100484,20211108,1
100484,20211129,1
100484,20211227,1
100484,20211122,1
100484,20211220,1
100484,20220214,1
100484,20211125,2
100484,20211021,1
100484,20211202,1
100484,20211223,1
100484,20220120,1
100484,20211118,1
100484,20220317,1
100484,20220113,1
100484,20211216,1
100484,20220310,1
100484,20220210,1
100484,20211111,1
100484,20220106,1
100484,20211209,1
100484,20220303,1
100484,20220203,1
100484,20211230,1
100484,20220224,1
100484,20220127,1
100484,20220217,1
100484,20211104,1
100484,20211028,1
98891,20220221,2
98891,20220117,2
98891,20211115,1
98891,20220314,1
98891,20220110,1
98891,20211213,1
98891,20220307,1
98891,20220207,1
98891,20220103,1
98891,20211206,1
98891,20220228,1
98891,20220131,1
98891,20220124,1
98891,20211101,1
98891,20211025,1
98891,20211018,1
98891,20211108,1
98891,20211129,1
98891,20211227,1
98891,20211122,1
98891,20211220,1
98891,20220214,1
98891,20211125,2
98891,20211021,1
98891,20211202,1
98891,20211223,1
98891,20220120,1
98891,20211118,1
98891,20220317,1
98891,20220113,1
98891,20211216,1
98891,20220310,1
98891,20220210,1
98891,20211111,1
98891,20220106,1
98891,20211209,1
98891,20220303,1
98891,20220203,1
98891,20211230,1
98891,20220224,1
98891,20220127,1
98891,20220217,1
98891,20211104,1
98891,20211028,1
98891,20211126,2
98891,20211224,2
98891,20211231,2
98891,20211029,1
98891,20211022,1
98891,20211203,1
98891,20220121,1
98891,20211119,1
98891,20220318,1
98891,20220114,1
98891,20211217,1
98891,20220311,1
98891,20220211,1
98891,20211112,1
98891,20211210,1
98891,20220107,1
98891,20220204,1
98891,20220304,1
98891,20220128,1
98891,20220225,1
98891,20220218,1
98891,20211105,1
94367,20220221,2
94367,20211227,2
94367,20220117,2
94367,20211220,2
94367,20211115,1
94367,20220314,1
94367,20220110,1
94367,20211213,1
94367,20220307,1
94367,20220207,1
94367,20220103,1
94367,20211206,1
94367,20220131,1
94367,20220228,1
94367,20220124,1
94367,20211101,1
94367,20211025,1
94367,20211018,1
94367,20211108,1
94367,20211129,1
94367,20211122,1
94367,20220214,1
94367,20211221,2
94367,20211228,2
94367,20220222,2
94367,20211123,1
94367,20220118,1
94367,20220215,1
94367,20211116,1
94367,20220315,1
